name,orig_n,orig_m,trial,strategy,frac,gen_n,gen_m,degree_js,pagerank_js
karate,34,78,2,greedy,40,31,65,0.2510595438511346,0.8613260295695612
karate,34,78,3,greedy,40,37,78,0.19364711175762242,0.7705632521503968
karate,34,78,4,greedy,40,37,74,0.1899541739380228,0.7361707967010989
karate,34,78,5,greedy,40,33,71,0.20814666555257486,0.6067860041995683
karate,34,78,6,greedy,40,34,68,0.07646287431120935,0.6909021629005937
karate,34,78,7,greedy,40,33,72,0.20340649238940428,0.5648513459469855
karate,34,78,8,greedy,40,31,64,0.17585161279965666,0.7821421081664406
karate,34,78,9,greedy,40,34,68,0.11950230463927368,0.42996735197337493
karate,34,78,10,greedy,40,35,67,0.488384045870089,0.5233990291823923
karate,34,78,11,greedy,40,34,64,0.22163508759343548,0.6848165319333334
karate,34,78,12,greedy,40,37,73,0.21016402629494227,0.7665804915792759
karate,34,78,13,greedy,40,35,69,0.5178098390304003,0.5562582889441615
karate,34,78,14,greedy,40,34,69,0.06648162745946445,0.6550333112512049
karate,34,78,15,greedy,40,34,69,0.18746730964066224,0.376400232216086
karate,34,78,16,greedy,40,33,71,0.19431755526679995,0.654921886318588
karate,34,78,17,greedy,40,34,69,0.22175213097294122,0.5300292206488549
karate,34,78,18,greedy,40,37,74,0.23199314280746383,0.6643534361761197
karate,34,78,19,greedy,40,34,67,0.192111187316236,0.6680355894308078
karate,34,78,20,greedy,40,37,74,0.17013204864093953,0.799088082546895
karate,34,78,21,greedy,40,35,68,0.4756524061292534,0.6144130941950486
karate,34,78,22,greedy,40,36,76,0.2450409191116423,0.853309970077268
karate,34,78,23,greedy,40,36,80,0.22319160892314643,0.8468696333369509
karate,34,78,24,greedy,40,31,66,0.19902451873606672,0.7684067579474344
karate,34,78,25,greedy,40,37,74,0.23988608137560588,0.7776631884323767
karate,34,78,26,greedy,40,30,66,0.25882330308735146,0.8702264823664723
karate,34,78,27,greedy,40,32,61,0.5465461943421794,0.8141969200484721
karate,34,78,28,greedy,40,36,78,0.2498160227712945,0.7552685143015225
karate,34,78,29,greedy,40,34,67,0.16441034033607083,0.4778931752948477
karate,34,78,30,greedy,40,34,69,0.16007316303013064,0.6301502615037111
karate,34,78,31,greedy,40,30,62,0.21788766502699952,0.8589186765132892
karate,34,78,32,greedy,40,33,71,0.2023833738257112,0.6885538827071979
karate,34,78,33,greedy,40,32,62,0.5470639198945723,0.8502475072161984
karate,34,78,34,greedy,40,34,72,0.05433191754902779,0.5127547952447972
karate,34,78,35,greedy,40,35,68,0.5021207045827205,0.5237282945741333
karate,34,78,36,greedy,40,34,73,0.05433191754902779,0.5752885250475314
karate,34,78,37,greedy,40,34,70,0.07836712219795819,0.5023628179250719
karate,34,78,38,greedy,40,35,68,0.5095140461142088,0.5652800235951894
karate,34,78,39,greedy,40,36,76,0.2710869366378437,0.778300394338653
karate,34,78,40,greedy,40,31,66,0.14216209270486954,0.681513817963589
karate,34,78,41,greedy,40,37,73,0.2200071404701058,0.6968134943573105
karate,34,78,42,greedy,40,37,75,0.1652614882674223,0.8605183705129936
karate,34,78,43,greedy,40,34,69,0.14048433930092763,0.5891916607961928
karate,34,78,44,greedy,40,37,76,0.1616386502633663,0.7646095454482764
karate,34,78,45,greedy,40,31,64,0.08172309976571028,0.782035146882481
karate,34,78,46,greedy,40,34,71,0.15988511197723668,0.5219591765504826
karate,34,78,47,greedy,40,34,67,0.15542182263614723,0.47907300632844574
karate,34,78,48,greedy,40,34,69,0.05433191754902779,0.5333252716363605
karate,34,78,49,greedy,40,31,64,0.11923890560132412,0.814686633387862
karate,34,78,50,greedy,40,37,76,0.1616386502633663,0.7773494849524405
karate,34,78,1,greedy,50,36,80,0.2233252354947874,0.8357439571740646
karate,34,78,2,greedy,50,31,65,0.2510607989699992,0.8613260295695612
karate,34,78,3,greedy,50,37,78,0.19364807984554777,0.7705632521503968
karate,34,78,4,greedy,50,37,74,0.1899551235640745,0.7361707967010989
karate,34,78,5,greedy,50,33,71,0.20814666555257486,0.6067860041995683
karate,34,78,6,greedy,50,34,68,0.07646287431120935,0.6909021629005937
karate,34,78,7,greedy,50,33,72,0.20340649238940428,0.5648513459469855
karate,34,78,8,greedy,50,31,64,0.17585161279965666,0.7821421081664406
karate,34,78,9,greedy,50,34,68,0.11950230463927368,0.42996735197337493
karate,34,78,10,greedy,50,35,67,0.488384045870089,0.5233990291823923
karate,34,78,11,greedy,50,34,64,0.22163508759343548,0.6848165319333334
karate,34,78,12,greedy,50,37,73,0.21016402629494227,0.7665804915792759
karate,34,78,13,greedy,50,35,69,0.5178098390304003,0.5562582889441615
karate,34,78,14,greedy,50,34,69,0.06648162745946445,0.6550333112512049
karate,34,78,15,greedy,50,34,69,0.18746730964066224,0.376400232216086
karate,34,78,16,greedy,50,33,71,0.19431755526679995,0.654921886318588
karate,34,78,17,greedy,50,34,69,0.22175213097294122,0.5300292206488549
karate,34,78,18,greedy,50,37,74,0.23199314280746383,0.6643534361761197
karate,34,78,19,greedy,50,34,67,0.192111187316236,0.6680355894308078
karate,34,78,20,greedy,50,37,74,0.17013204864093953,0.799088082546895
karate,34,78,21,greedy,50,35,68,0.4756524061292534,0.6144130941950486
karate,34,78,22,greedy,50,36,76,0.2450409191116423,0.853309970077268
karate,34,78,23,greedy,50,36,80,0.22319160892314643,0.8468696333369509
karate,34,78,24,greedy,50,31,66,0.19902451873606672,0.7684067579474344
karate,34,78,25,greedy,50,37,74,0.23988608137560588,0.7776631884323767
karate,34,78,26,greedy,50,30,66,0.25882330308735146,0.8702264823664723
karate,34,78,27,greedy,50,32,61,0.5465461943421794,0.8141969200484721
karate,34,78,28,greedy,50,36,78,0.2498160227712945,0.7552685143015225
karate,34,78,29,greedy,50,34,67,0.16441034033607083,0.4778931752948477
karate,34,78,30,greedy,50,34,69,0.16007316303013064,0.6301502615037111
karate,34,78,31,greedy,50,30,62,0.21788766502699952,0.8589186765132892
karate,34,78,32,greedy,50,33,71,0.2023833738257112,0.6885538827071979
karate,34,78,33,greedy,50,32,62,0.5470639198945723,0.8502475072161984
karate,34,78,34,greedy,50,34,72,0.05433191754902779,0.5127547952447972
karate,34,78,35,greedy,50,35,68,0.5021207045827205,0.5237282945741333
karate,34,78,36,greedy,50,34,73,0.05433191754902779,0.5752885250475314
karate,34,78,37,greedy,50,34,70,0.07836712219795819,0.5023628179250719
karate,34,78,38,greedy,50,35,68,0.5095140461142088,0.5652800235951894
karate,34,78,39,greedy,50,36,76,0.2710869366378437,0.778300394338653
