,name,orig_n,orig_m,attr_name,model,mu,clustering,cost,branch_factor,height,graph_dl,num_rules,unique_rules,grammar_dl
134,football,115,613,value,VRG-all-tnodes,3,infomap,63806,9.76923076923077,2,60141.85416244832,13,13,6341.489890909235
135,football,115,613,value,AVRG-all-tnodes,3,infomap,63806,9.76923076923077,2,60141.85416244832,13,13,9572.281245012988
136,polbooks,105,441,value,VRG-mu-random,8,cond,12015,2.0,8,29954.439735840868,18,18,4628.828928678503
137,polbooks,105,441,value,VRG-mu-random,3,cond,12015,2.0,8,29954.439735840868,64,62,4597.4782639266505
138,polbooks,105,441,value,AVRG-mu-random,8,cond,12015,2.0,8,29954.439735840868,18,18,5929.299748544623
139,polbooks,105,441,value,AVRG-mu-random,3,cond,12015,2.0,8,29954.439735840868,64,61,5037.942562381766
140,polbooks,105,441,value,VRG-mu-random,3,spectral,17971,4.0588235294117645,4,29954.439735840868,13,13,35180.58586606731
141,polbooks,105,441,value,VRG-mu-random,8,spectral,17971,4.0588235294117645,4,29954.439735840868,26,26,5207.62019085648
142,polbooks,105,441,value,VRG-all-tnodes,3,cond,12015,2.0,8,29954.439735840868,104,96,4822.957063356707
143,polbooks,105,441,value,VRG-all-tnodes,3,spectral,17971,4.0588235294117645,4,29954.439735840868,34,34,5334.092311762369
144,polbooks,105,441,value,AVRG-mu-random,3,spectral,17971,4.0588235294117645,4,29954.439735840868,13,13,37838.675365138406
145,polbooks,105,441,value,AVRG-mu-random,8,spectral,17971,4.0588235294117645,4,29954.439735840868,26,25,6220.838924664767
146,polbooks,105,441,value,AVRG-all-tnodes,3,cond,12015,2.0,8,29954.439735840868,104,84,4413.854558671522
147,polbooks,105,441,value,VRG-mu-random,3,leiden,22550,3.0,6,29954.439735840868,15,15,26261.829138562753
148,polbooks,105,441,value,AVRG-all-tnodes,3,spectral,17971,4.0588235294117645,4,29954.439735840868,34,33,6016.480419461534
149,polbooks,105,441,value,VRG-mu-random,8,leiden,22550,3.0,6,29954.439735840868,18,18,4845.850141955217
150,polbooks,105,441,value,AVRG-mu-random,3,leiden,22550,3.0,6,29954.439735840868,15,15,29724.22102336904
151,polbooks,105,441,value,AVRG-mu-random,8,leiden,22550,3.0,6,29954.439735840868,18,18,6056.400478672855
152,polbooks,105,441,value,VRG-all-tnodes,3,leiden,22550,3.0,6,29954.439735840868,52,52,4321.212913301919
153,polbooks,105,441,value,AVRG-all-tnodes,3,leiden,22550,3.0,6,29954.439735840868,52,49,4671.3531265326465
154,polbooks,105,441,value,VRG-all-tnodes,3,consensus,10321,3.9714285714285715,7,29954.439735840868,37,37,3932.965858603762
155,polbooks,105,441,value,AVRG-mu-random,3,consensus,10321,3.9714285714285715,7,29954.439735840868,5,5,35959.35867194272
156,polbooks,105,441,value,VRG-mu-random,8,consensus,10321,3.9714285714285715,7,29954.439735840868,15,15,9307.331546225372
157,polbooks,105,441,value,VRG-mu-random,3,consensus,10321,3.9714285714285715,7,29954.439735840868,5,5,29339.298641767058
158,polbooks,105,441,value,AVRG-mu-random,8,consensus,10321,3.9714285714285715,7,29954.439735840868,15,15,10599.268384228657
159,polbooks,105,441,value,AVRG-all-tnodes,3,consensus,10321,3.9714285714285715,7,29954.439735840868,35,34,5219.893801061034
160,polbooks,105,441,value,VRG-mu-random,4,cond,12015,2.0,8,29954.439735840868,39,39,4298.507241866316
161,polbooks,105,441,value,VRG-mu-random,4,spectral,17971,4.0588235294117645,4,29954.439735840868,22,22,22972.239483582827
162,polbooks,105,441,value,VRG-mu-random,6,cond,12015,2.0,8,29954.439735840868,26,26,4546.536552555766
163,polbooks,105,441,value,VRG-mu-random,7,cond,12015,2.0,8,29954.439735840868,22,22,4649.239398358692
164,polbooks,105,441,value,VRG-mu-random,5,spectral,17971,4.0588235294117645,4,29954.439735840868,26,26,15020.437760998931
165,polbooks,105,441,value,VRG-mu-random,6,spectral,17971,4.0588235294117645,4,29954.439735840868,26,26,13165.069011744221
166,polbooks,105,441,value,VRG-mu-random,5,cond,12015,2.0,8,29954.439735840868,32,32,4374.030972523616
167,polbooks,105,441,value,AVRG-mu-random,7,cond,12015,2.0,8,29954.439735840868,22,22,5808.715199499807
168,polbooks,105,441,value,AVRG-mu-random,6,cond,12015,2.0,8,29954.439735840868,26,26,5513.9630756886045
169,polbooks,105,441,value,AVRG-mu-random,4,cond,12015,2.0,8,29954.439735840868,39,39,5021.09879712995
170,polbooks,105,441,value,AVRG-mu-random,5,cond,12015,2.0,8,29954.439735840868,32,32,5191.475967383471
171,polbooks,105,441,value,AVRG-mu-random,4,spectral,17971,4.0588235294117645,4,29954.439735840868,22,21,24097.486299016746
172,polbooks,105,441,value,AVRG-mu-random,5,spectral,17971,4.0588235294117645,4,29954.439735840868,26,25,15958.671022649814
173,polbooks,105,441,value,VRG-mu-random,7,spectral,17971,4.0588235294117645,4,29954.439735840868,29,29,5722.37527408705
174,polbooks,105,441,value,VRG-mu-random,4,leiden,22550,3.0,6,29954.439735840868,16,16,23240.753425871833
